id,subject,treatment,fov,cell_type,roi_num,branch,spine,eventrate_pre,eventrate_post,amplitude_pre,amplitude_post,frequency_pre,frequency_post
1,Pons-1,saline,FOV1,PT,1,1,NaN,1.531787085,1.11963958,1.459459459,1.217785844,1.049557817,0.919405974
1,Pons-1,saline,FOV1,PT,11,2,NaN,0.528950442,0.500584015,1.761111111,1.167315175,0.300350409,0.428833639
1,Pons-1,saline,FOV1,PT,20,3,NaN,0.91273152,0.966127148,1.989090909,1.094517958,0.45886868,0.882696479
1,Pons-1,saline,FOV1,PT,33,4,NaN,0.780911063,0.682462873,1.485714286,1.096514745,0.525613215,0.622392792
1,Pons-1,saline,FOV1,PT,44,5,NaN,0.805940264,0.79425997,1.235294118,1.211195929,0.652427832,0.655765059
1,Pons-1,saline,FOV1,PT,58,6,NaN,0.607375271,0.543967963,1.103030303,1.093959732,0.550642416,0.497246788
1,Pons-1,saline,FOV1,PT,80,7,NaN,1.002836643,0.727515435,1.469437653,1.191256831,0.682462873,0.610712498
1,Pons-1,saline,FOV1,PT,90,8,NaN,0.465543134,0.749207409,1.256756757,1.17847769,0.370432171,0.635741699
1,Pons-1,saline,FOV1,PT,99,9,NaN,0.735858502,1.067912565,1.332326284,1.319587629,0.55231103,0.80927749
1,Pons-1,saline,FOV1,PT,111,10,NaN,0.655765059,0.774236609,1.139130435,1.074074074,0.575671617,0.720840981
1,Pons-1,saline,FOV2,PT,1,1,NaN,2.51126314,2.089103955,1.621767241,1.492252682,1.548473219,1.399966628
1,Pons-1,saline,FOV2,PT,12,2,NaN,1.012848323,0.764224929,1.354910714,1.241192412,0.747538795,0.615718338
1,Pons-1,saline,FOV2,PT,24,3,NaN,1.635241115,1.173035208,2.063157895,1.502136752,0.792591357,0.780911063
1,Pons-1,saline,FOV2,PT,31,4,NaN,1.326547639,1.159686301,1.399647887,1.392785571,0.947772401,0.832638078
1,Pons-1,saline,FOV2,PT,37,5,NaN,0.46888036,0.273652595,1.426395939,1.378151261,0.328716836,0.198564992
1,Pons-1,saline,FOV2,PT,48,6,NaN,0.520607375,0.563991323,1.233201581,1.315175097,0.422159186,0.428833639
1,Pons-1,saline,FOV2,PT,58,7,NaN,0.423827799,0.273652595,1.302564103,1.138888889,0.32537961,0.240280327
1,Pons-1,saline,FOV2,PT,71,8,NaN,0.408810279,0.533956282,1.289473684,1.111111111,0.317036543,0.480560654
1,Pons-1,saline,FOV2,PT,83,9,NaN,0.403804439,0.553979643,1.07079646,1.031055901,0.377106624,0.537293509
1,Pons-1,saline,FOV2,PT,95,10,NaN,1.445019189,1.288169531,1.191196699,1.064827586,1.213081929,1.209744702
1,Pons-1,saline,FOV2,PT,104,11,NaN,0.822626397,0.602369431,1.36565097,1.275618375,0.602369431,0.472217587
1,Pons-1,saline,FOV2,PT,113,12,NaN,1.024528617,0.78424829,1.284518828,1.192893401,0.797597197,0.657433673
1,Pons-1,psilocybin,FOV1,PT,1,1,NaN,0.767562156,0.585683297,1.398176292,1.154605263,0.548973803,0.507258468
1,Pons-1,psilocybin,FOV1,PT,17,2,NaN,0.862673119,0.792591357,1.230952381,1.147342995,0.700817621,0.69080594
1,Pons-1,psilocybin,FOV1,PT,28,3,NaN,0.729184048,0.664108126,1.190735695,1.153623188,0.612381111,0.575671617
1,Pons-1,psilocybin,FOV1,PT,35,4,NaN,1.037877524,0.764224929,1.460093897,1.563139932,0.710829301,0.488903721
1,Pons-1,psilocybin,FOV1,PT,44,5,NaN,0.517270149,0.503921241,1.319148936,1.313043478,0.392124145,0.383781078
1,Pons-1,psilocybin,FOV1,PT,63,6,NaN,0.352077424,0.423827799,1.310559006,1.309278351,0.268646755,0.323710996
1,Pons-1,psilocybin,FOV1,PT,74,7,NaN,0.462205907,0.575671617,1.242152466,1.34765625,0.372100784,0.427165026
1,Pons-1,psilocybin,FOV1,PT,85,8,NaN,0.819289171,0.852661438,1.302387268,1.337696335,0.629067245,0.637410312
