mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,0.265695339,0.04068064,-0.034339252
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,-0.051925694,0.078581936,0.194414608
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,0,-0.093876684,-0.066658809,0.069123802
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0,-0.135936646,-0.007926542,-0.087757871
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.183680425,0.133450333,0.036787979
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,0,-0.260971376,-0.265057633,-0.06552097
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,0,0.021335169,0.150815064,0.201142492
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,0,-0.211448272,-0.206296111,0.085521886
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,0,-0.084213462,0.043499175,0.07981616
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0,-0.123101085,0.187432332,0.12378323
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0,-0.261732459,-0.243151046,-0.172028744
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0,-0.034288875,0.052048467,0.338970776
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0,0.101904037,0.058737438,0.113984014
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0,0.178375332,0.306246253,0.154941374
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0,0.050300027,-0.021210953,-0.080545828
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0,-0.107880907,-0.195131338,-0.264077648
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,0,-0.083439518,0.028599606,0.00144023
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0,0.016093014,0.009095577,-0.068652877
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0,0.006787194,0.083144525,-0.019766082
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,0,0.146968769,0.170381171,0.147671569
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,0,-0.066721597,-0.045953985,-0.042743372
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,0,0.003703704,0.248453096,0.300005552
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,0,-0.106159218,0.000703631,-0.011262514
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,0,-0.04506085,0.041539719,-0.095644693
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,0,-0.04192179,-0.024401904,-0.044067631
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV10-2,0,0.25347799,0.155780518,0.025611621
KO 3042,m,psilocybin,ko,cell11,cell11_1,NA,750+,FOV11-1,0,-0.223042915,-0.193435569,-0.202628565
KO 807,f,psilocybin,ko,cell2,cell2_1,cell2_1,630,FOV1-1,0,0.016503206,-0.213498723,-0.078808796
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,0,-0.071719712,0.038401064,-0.115159167
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,0,-0.211639505,-0.277818567,-0.079269375
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,0,0.101972616,-0.056167301,0.036924861
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,0,0.119493904,-0.004968794,0.193386628
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,0,-0.195200498,-0.116060504,-0.063973789
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,0,-0.059382423,0.028156012,0.155443675
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,0,-0.035626998,0.011336751,-0.074583415
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,0,0.295845851,0.072759715,0.207804112
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,0,0.236171474,0.200249353,0.027309465
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,0,0.165757102,0.276903884,0.159860276
KO 807,f,psilocybin,ko,cell5,cell5_1,cell5_1,780+,FOV24-1,0,-0.129034444,-0.146923606,-0.15328878
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,0,-0.038802528,-0.141802642,0.047043489
KO 807,f,psilocybin,ko,cell5,cell5_2,cell5_2,780+,FOV28-1,0,-0.059137769,0.094017901,-0.068652009
KO 807,f,psilocybin,ko,cell7,cell7_1,NA,500,FOV29-1,0,0.075180221,0.175699716,0.031468927
KO 807,f,psilocybin,ko,cell9,cell9_1,NA,630,FOV34-1,0,-0.047510057,0.137623389,0.096400654
KO 807,f,psilocybin,ko,cell11,cell11_1,NA,560,FOV36-1,0,-0.03539944,0.114185728,0.032508606
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,-0.092037412,-0.07807027,-0.008966695
KO 835,m,psilocybin,ko,cell11,cell11_1,NA,614,FOV4-1,0,-0.123726872,-0.19210436,-0.133480613
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.055517129,-0.052673604,-0.103061224
KO 835,m,psilocybin,ko,cell9,cell9_1,NA,750+,FOV8-1,0,-0.045651133,-0.262020099,-0.111429779
KO 835,m,psilocybin,ko,cell7,cell7_1,NA,580,FOV11-1,0,-0.039651451,-0.028938647,-0.101966061
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0,0.078936188,-0.031930979,-0.178069778
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,0,-0.107578782,-0.073973654,-0.078272151
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,0,-0.034200536,-0.131638308,-0.168192918
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0,-0.046654271,-0.077538286,-0.068791518
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0,0.066737556,-0.070557872,-0.138315164
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0,-0.040388841,-0.193628427,-0.274746939
KO 835,m,psilocybin,ko,cell3,cell3_2,cell3_2,610,FOV19-2,0,-0.162385845,-0.230601188,-0.226763383
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,0.139008834,-0.015538291,0.010250569
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,0.079782447,-0.08847264,-0.105527187
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.075051567,-0.063919297,0.04060473
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0,-0.112989518,-0.009439616,0.046044304
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV11-1,0,0.018809114,0.038908374,-0.069408993
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0,0.103813269,0.093666761,0.112847167
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0,0.154986523,0.230850249,0.109758624
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV15-1,0,-0.073260298,-0.083024347,-0.018023491
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-1,0,-0.138441678,-0.08487395,-0.236823916
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,0,0.054150022,0.003782368,0.006124234
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,0,0.031413141,0.198506443,0.041253975
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV21-1,0,0.102534562,0.140415699,0.022755708
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV1-1,0,-0.142680269,-0.110614468,-0.105467135
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV6-1,0,0.071495514,0.084180298,0.015999455
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV8-1,0,-0.075670579,0.000820419,-0.180250212
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,0,-0.147361805,-0.06081237,-0.160293005
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,0,-0.004859529,0.132430876,0.315253976
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,0,0.34272749,0.121215747,0.230833532
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,0,0.064263757,0.08364036,0.107617164
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,0,0.021949829,0.123178946,-0.057112423
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,0,0.165658399,0.184722905,0.036898185
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,0,0.001160922,0.011001894,0.093271277
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,0,-0.046172306,-0.086508849,-0.029993899
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,0,0.050156969,0.046109091,-0.019963208
KO 3041,m,saline,ko,NA,NA,NA,NA,FOV3-1,0,-0.076743904,-0.08539839,-0.062643183
KO 3041,m,saline,ko,cell1,cell1_2,cell1_2,720,FOV5-1,0,0.062215309,0.064580782,0.001886199
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,0,-0.098309381,-0.049447891,-0.093278561
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,0,0.018420168,-0.116121359,0.060928636
KO 823,f,saline,ko,cell1,cell1_2,cell1_2,820,FOV9-1,0,-0.163710597,-0.141379498,-0.163011609
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,0,-0.029373409,-0.049674713,-0.096886027
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,0,0.034540546,-0.061552537,-0.207960312
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,0,0.07282005,0.058367929,0.251519493
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,0,0.031095393,0.052000764,-0.053989854
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,0,0.106283581,0.003725446,0.096485229
KO 823,f,saline,ko,cell5,cell5_3,cell5_3,670,FOV25-1,0,0.173390179,0.123925558,0.075681741
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,0,-0.090296333,0.048908477,0.097537542
