mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0.482235116,0.610362739,0.501852749,0.465675523
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0.637142108,0.604058062,0.687209969,0.761011841
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,0.408999419,0.37060391,0.381736004,0.437271013
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0.512438319,0.442779173,0.508376455,0.467467823
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0.597616921,0.487846391,0.677369098,0.61960204
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,0.531821919,0.393031621,0.39085846,0.496976431
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,0.375121403,0.383124681,0.431695361,0.450574257
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,0.394668672,0.311216664,0.31325006,0.428421481
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,0.453249331,0.415079636,0.472965303,0.489425952
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0.369143651,0.323701667,0.438333107,0.414837445
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0.479522824,0.354016136,0.362926348,0.397031115
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0.437466196,0.422465972,0.460235641,0.585754452
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0.485038973,0.534466402,0.513528919,0.540325662
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0.524711048,0.618306556,0.68540184,0.606010499
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0.691247425,0.726017189,0.676585409,0.635570329
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0.430183485,0.3837749,0.346241205,0.316581642
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,0.533729781,0.489195625,0.548994243,0.534498475
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0.412009609,0.418640086,0.415757074,0.383723964
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0.362300113,0.364759114,0.392423384,0.355138859
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,0.432309984,0.49584605,0.505967465,0.496149877
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,0.437935295,0.408715553,0.417810423,0.419216463
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,0.435733102,0.437346929,0.543992341,0.566455452
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,0.56934088,0.508900097,0.569741485,0.56292867
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,0.491052447,0.468925206,0.511450627,0.444085886
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,0.562119495,0.538554439,0.548402709,0.53734822
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV10-2,0.528141651,0.662013935,0.610415831,0.541668214
KO 3042,m,psilocybin,ko,cell11,cell11_1,NA,750+,FOV11-1,0.548250806,0.425967348,0.442199599,0.437159532
KO 807,f,psilocybin,ko,cell2,cell2_1,cell2_1,630,FOV1-1,0.563398691,0.572696576,0.44311379,0.518997919
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,0.536400112,0.49792965,0.556998447,0.474628722
