mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,0.153846154,0.272727273
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,-0.071428571,-0.071428571
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,0,-0.125,-0.125
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0,-0.125,-0.0625
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.181818182,0.048951049
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,0,-0.175757576,-0.084848485
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,0,-0.090909091,-0.098484848
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,0,-0.050505051,-0.050505051
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,0,-0.055147059,-0.062091503
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0,-0.178571429,-0.039473684
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0,-0.081447964,-0.158371041
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0,0.090909091,-0.007575758
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0,0.06043956,0
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0,0,0.1875
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0,0.142857143,0.076923077
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0,0.018575851,-0.024561404
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,0,-0.090909091,0
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0,-0.214285714,-0.071428571
