mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0.000000,0.153846,0.272727
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0.071429,0.000000,0.000000
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,0.125000,0.000000,0.000000
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0.125000,0.000000,0.062500
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0.181818,0.000000,0.230769
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,0.266667,0.090909,0.181818
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,0.181818,0.090909,0.083333
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,0.272727,0.222222,0.222222
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,0.117647,0.062500,0.055556
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0.250000,0.071429,0.210526
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0.235294,0.153846,0.076923
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0.090909,0.181818,0.083333
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0.153846,0.214286,0.153846
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0.000000,0.000000,0.187500
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0.000000,0.142857,0.076923
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0.157895,0.176471,0.133333
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,0.090909,0.000000,0.090909
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0.214286,0.000000,0.142857
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0.133333,0.066667,0.125000
