mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,-0.181818182,0
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,0.153846154,0.133333333
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,0,0,0.142857143
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0,0.142857143,0
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,0.444444444,0.153846154
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,0,0.090909091,0.454545455
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,0,0,-0.015151515
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,0,0.131313131,0.464646465
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,0,0.128676471,0.052287582
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0,0.303571429,0.032894737
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0,0.153846154,0.153846154
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0,0.181818182,0.242424242
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0,-0.087912088,0
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0,-0.023809524,-0.104166667
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0,-0.005494505,0
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0,-0.099071207,-0.09122807
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,0,0.1,0.090909091
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0,0.095238095,0
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0,0,-0.070833333
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,0,-0.069444444,-0.069444444
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,0,0.003676471,0.066176471
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,0,0,0.021008403
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,0,0.111111111,0.2
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,0,0.003676471,0
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,0,-0.117647059,-0.055147059
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV10-2,0,-0.285714286,-0.285714286
KO 3042,m,psilocybin,ko,cell11,cell11_1,NA,750+,FOV11-1,0,0,0.222222222
KO 807,f,psilocybin,ko,cell2,cell2_1,cell2_1,630,FOV1-1,0,-0.066666667,0.016666667
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,0,0.08974359,-0.076923077
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,0,-0.033333333,0.141025641
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,0,-0.2,-0.033333333
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,0,-0.074509804,0.133333333
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,0,0.091346154,0.080357143
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,0,0.219047619,0.066666667
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,0,0,-0.083333333
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,0,-0.325791855,-0.17032967
