mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,-0.084641714,-0.039812646,0.098811025
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,-0.089617568,0.027144769,0.014048261
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,0,-0.067165963,-0.151940084,-0.226436141
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0,-0.047036364,-0.07068105,-0.020576397
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.175154165,-0.2291547,-0.235956946
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,0,-0.036523044,0.009716817,0.127376041
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,0,-0.080158337,-0.109035681,-0.181758206
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,0,0.009364394,-0.123158662,-0.032611013
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,0,0.005241193,-0.218300911,0.122654823
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0,0.018993848,-0.005937294,-0.036618817
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0,-0.036405193,-0.056381119,0.038069512
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0,-0.051266309,0.054412893,-0.04267076
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0,-0.126091857,-0.016385981,0.014370245
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0,-0.140634141,0.027334152,-0.076167076
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0,0.05680983,-0.085209003,0.139549839
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0,0.060418143,0.223591139,0.171082949
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,0,0.136383929,0.039366883,-0.041801948
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0,-0.046105694,-0.018538582,-0.087590633
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0,0.021570433,0.018759042,-0.014467973
