mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,1.246452,1.140950,1.196827,1.369615
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,1.274344,1.160140,1.308935,1.292246
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,1.107178,1.032813,0.938953,0.856473
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0.958823,0.913724,0.891053,0.939094
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,1.112623,0.917742,0.857660,0.850092
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,1.277155,1.230509,1.289565,1.439834
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,1.361419,1.252290,1.212976,1.113970
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,1.404083,1.417231,1.231158,1.358294
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,1.105398,1.111191,0.864088,1.240980
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,1.394469,1.420956,1.386190,1.343406
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,1.559878,1.503090,1.471930,1.619261
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,1.462913636,1.387915455,1.542515,1.40049
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,1.252290,1.094386,1.231770,1.270286
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,1.507935,1.295868,1.549153,1.393080
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,1.181800,1.248938,1.081100,1.346720
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,1.337960,1.418797,1.637116,1.566862
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,1.106560,1.257477,1.150122,1.060304
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,1.465592,1.398020,1.438422,1.337220
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,1.251961,1.278966,1.275446,1.233847
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,1.310181,1.390198,1.396373,1.161723
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,1.577168,1.528621,1.332719,1.584814
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,1.239940,1.220709,1.001367,1.191089
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,1.042093,1.293731,1.439763,1.078649
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,1.288323,1.531400,1.195480,1.264475
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,1.189232,1.431674,1.384281,1.406819
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV10-2,1.106207,0.948480,0.965461,1.337681
