mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,-0.027084998,0.045926736,0.003471843
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,-0.016629543,-0.036123232,-0.098070327
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,0,-0.050868551,-0.081565984,-0.022141561
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0,-0.047134991,0.099322321,0.004997882
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.066673436,-0.024977155,0.047060615
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,0,0.096979783,0.122510732,0.179306963
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,0,0.045141364,-0.015819276,-0.02840068
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,0,0.049911029,0.077185613,0.052157172
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,0,-0.000661209,-0.069987872,-0.00098988
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0,0.035564436,0.146411483,0.096192696
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0,0.024598478,-0.036577708,-0.004933842
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0,-0.055264953,-0.038719582,-0.060692897
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0,-0.016666667,-0.006311637,-0.023626374
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0,0.007891542,0.04815864,0.055240793
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0,0.105422454,0.00646744,0.114629795
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0,0.066240988,-0.021586942,-0.001637621
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,0,0.075793245,-0.04912999,0.033520983
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0,0.055153427,0.003711952,0.102906744
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0,-0.014245014,-0.053652511,-0.040954416
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,0,-0.020816349,0.001793576,0.028171821
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,0,-0.023356983,-0.027641897,0.077100448
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,0,0.060651255,0.081458087,0.088270224
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,0,0.103552532,0.021768707,0.170068027
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,0,0.091041858,0.171665133,0.150849433
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,0,0.031617778,0.171250892,0.050563927
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV10-2,0,0.037481545,0.058026147,0.070724389
KO 3042,m,psilocybin,ko,cell11,cell11_1,NA,750+,FOV11-1,0,-0.053872054,0.072543618,0.056014692
KO 807,f,psilocybin,ko,cell2,cell2_1,cell2_1,630,FOV1-1,0,-0.053494535,-0.048111958,-0.022918949
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,0,-0.041310677,0.004204074,0.001677109
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,0,0.054345837,0.114575269,0.034605242
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,0,-0.058986132,-0.038597071,-0.051111426
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,0,-0.080563313,-0.040326697,0.021735042
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,0,-0.036566091,-0.004921542,-0.036984397
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,0,0.055218197,0.105907781,0.062574165
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,0,-0.105587423,-0.104525175,-0.090329683
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,0,-0.107387141,-0.061669435,-0.11124031
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,0,0.007056835,-0.084724276,-0.053324449
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,0,-0.035471231,-0.038299502,-0.037327284
KO 807,f,psilocybin,ko,cell5,cell5_1,cell5_1,780+,FOV24-1,0,-0.034054704,-0.018083449,-0.04264284
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,0,0.011220472,0.045384952,0.03371063
KO 807,f,psilocybin,ko,cell5,cell5_2,cell5_2,780+,FOV28-1,0,-0.05940981,-0.002240896,-0.000781708
KO 807,f,psilocybin,ko,cell7,cell7_1,NA,500,FOV29-1,0,0.024334798,-0.033624077,-0.011907597
KO 807,f,psilocybin,ko,cell9,cell9_1,NA,630,FOV34-1,0,-0.014884542,-0.018284238,-0.020030028
KO 807,f,psilocybin,ko,cell11,cell11_1,NA,560,FOV36-1,0,-0.034176653,0.034735579,-0.02387231
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,-0.026992615,-0.002291826,-0.042016807
KO 835,m,psilocybin,ko,cell11,cell11_1,NA,614,FOV4-1,0,-0.036803714,-0.017087438,0.007247063
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.044725126,-0.037922251,-0.064579444
KO 835,m,psilocybin,ko,cell9,cell9_1,NA,750+,FOV8-1,0,0.080545016,0.04529148,0.090284006
KO 835,m,psilocybin,ko,cell7,cell7_1,NA,580,FOV11-1,0,-0.079811284,-0.101041871,0.045852172
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0,-0.107115406,-0.003683064,-0.043985396
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,0,0.042987322,0.070529319,0.063454834
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,0,0.041711743,0.049099991,0.093790231
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0,-0.00520586,-0.01928789,-0.077722772
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0,-0.003529307,-0.085954253,-0.032344532
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0,0.00644178,0.040722732,-0.022605322
KO 835,m,psilocybin,ko,cell3,cell3_2,cell3_2,610,FOV19-2,0,0.070882621,0.073400061,-0.016681832
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,-0.057105606,-0.022146893,0.021016949
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,0.037833056,-0.019022609,-0.062063665
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.006099716,-0.010000964,-0.00432809
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0,-0.088990826,-0.026299694,-0.031804281
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV11-1,0,0.05419011,-0.010068108,0.042019544
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0,-0.079936336,0.044184721,0.017531357
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0,-0.023760331,-0.049012242,-0.07192587
