mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0.798109,0.776492,0.834764,0.800880
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0.864343,0.849969,0.833120,0.779576
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,0.826500,0.784457,0.759086,0.808200
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0.708300,0.674914,0.778650,0.711840
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0.716291,0.668533,0.698400,0.750000
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,0.769120,0.843709,0.863345,0.907029
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,0.918327,0.959782,0.903800,0.892246
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,0.831055,0.872533,0.895200,0.874400
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,0.840706,0.840150,0.781867,0.839874
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0.858000,0.888514,0.983621,0.940533
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0.899294,0.921415,0.866400,0.894857
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0.959345455,0.906327273,0.9222,0.90112
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0.936000,0.920400,0.930092,0.913886
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0.847200,0.853886,0.888000,0.894000
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0.827815,0.915086,0.833169,0.922708
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0.892547,0.951671,0.873280,0.891086
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,0.852655,0.917280,0.810764,0.881236
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0.923657,0.974600,0.927086,1.018708
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0.898560,0.885760,0.850350,0.861760
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,0.919950,0.900800,0.921600,0.945867
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,0.945176,0.923100,0.919050,1.018050
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,0.689657,0.731486,0.745835,0.750533
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,0.705600,0.778667,0.720960,0.825600
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,0.767294,0.837150,0.899012,0.883040
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,0.791718,0.816750,0.927300,0.831750
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV10-2,0.799886,0.829867,0.846300,0.856457
KO 3042,m,psilocybin,ko,cell11,cell11_1,NA,750+,FOV11-1,0.871200,0.824267,0.934400,0.920000
KO 807,f,psilocybin,ko,cell2,cell2_1,cell2_1,630,FOV1-1,0.966080,0.914400,0.919600,0.943938
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,0.972369,0.932200,0.976457,0.974000
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,0.874400,0.921920,0.974585,0.904659
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,0.892168,0.839543,0.857733,0.846568
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,0.940320,0.864565,0.902400,0.960758
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,0.970950,0.935446,0.966171,0.935040
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,0.888320,0.937371,0.982400,0.943906
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,0.941400,0.842000,0.843000,0.856364
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,0.825600,0.736941,0.774686,0.733760
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,0.946600,0.953280,0.866400,0.896123
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,0.895200,0.863446,0.860914,0.861785
KO 807,f,psilocybin,ko,cell5,cell5_1,cell5_1,780+,FOV24-1,0.950571,0.918200,0.933382,0.910036
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,0.886691,0.896640,0.926933,0.916582
