mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,new,day_1,day_3
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0,0.928061538,0.9318
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0,0.892581818,0.94296
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0,0.988,0.9848
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0,0.937963636,0.94056
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0,0.907885714,0.9024
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0,0.8172,0.9566
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0,0.877028571,0.884861538
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0,0.9434,1.0464
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0,0.848228571,0.876184615
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,0,0.933317647,0.96225
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,0,0.93536,1.047428571
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,0,0.755485714,0.793846154
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,0,0.740533333,0.8862
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,0,0.9099,0.935446154
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,0,0.9273,0.82752
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,0,0.9802,0.984654545
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,0,0.9912,0.954109091
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,0,0.857733333,0.843
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,0,0.902228571,1.032
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,0,0.9654,0.9854
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,0,0.999490909,0.921381818
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,0,0.858327273,0.856363636
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,0,0.787015385,0.7564
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,0,0.92184,0.958628571
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,0,0.8638,0.8748
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,0,0.957,0.9219
KO 807,f,psilocybin,ko,cell5,cell5_2,cell5_2,780+,FOV28-1,0,0.956072727,0.9816
KO 807,f,psilocybin,ko,cell7,cell7_1,NA,500,FOV29-1,0,0.9536,0.9624
KO 807,f,psilocybin,ko,cell9,cell9_1,NA,630,FOV34-1,0,0.9591,0.984685714
KO 807,f,psilocybin,ko,cell11,cell11_1,NA,560,FOV36-1,0,1.099371429,1.019261538
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,0.854836364,0.824072727
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,0.793552941,0.7866
KO 835,m,psilocybin,ko,cell9,cell9_1,NA,750+,FOV8-1,0,0.7992,0.83448
KO 835,m,psilocybin,ko,cell7,cell7_1,NA,580,FOV11-1,0,0.859636364,0.973527273
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,0,0.911454545,0.916363636
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,0,0.893184,0.926514286
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0,0.8412,0.819323077
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0,0.829476923,0.8808
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0,0.90408,0.863435294
