mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_1_existing,day_1_new,day_3_existing,day_3_new1,day_3_new3,day_3_allnew
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,0.928061538,1.104,0.9318,0.9592,0.9568,0.958
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,0.892581818,0.7224,0.94296,0.7548,0.7944,0.7746
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,0.988,0.7248,0.9848,0.8064,0.7602,0.7756
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,0.937963636,0.8868,0.94056,1.0728,0.772,0.8472
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,0.907885714,0.7488,0.9024,NA,0.7848,0.7848
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,0.8172,1.0248,0.9566,NA,0.516,0.516
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,0.877028571,0.8208,0.884861538,NA,0.972,0.972
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,0.9434,0.8292,1.0464,0.7032,1.0296,0.8664
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0.848228571,0.8652,0.876184615,0.8952,0.6408,0.768
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,0.933317647,0.7224,0.96225,0.7248,0.7248,0.8148
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,0.93536,0.6744,1.047428571,NA,0.8124,0.8124
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,0.755485714,0.7008,0.793846154,0.732,0.6144,0.63792
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,0.740533333,0.5448,0.8862,NA,0.5832,0.5832
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,0.9099,0.7248,0.935446154,0.5688,0.516,0.5424
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,0.9273,NA,0.82752,NA,0.8952,0.8952
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,0.9802,0.954,0.984654545,NA,0.8568,0.8568
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,0.9912,0.8832,0.954109091,0.648,0.8472,0.814
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,0.857733333,NA,0.843,NA,0.8656,0.8656
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,0.902228571,0.9048,1.032,NA,0.8064,0.8064
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,0.9654,0.9708,0.9854,0.6576,0.7716,0.7336
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,0.999490909,0.9354,0.921381818,1.023,0.9096,0.9852
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,0.858327273,0.286,0.856363636,NA,0.856363636,NA
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,0.787015385,0.6144,0.7564,NA,0.7564,0.6432
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,0.92184,0.75552,0.958628571,0.8264,0.82,0.8232
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,0.8638,0.8436,0.8748,NA,0.7056,0.7056
