mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3,day_5,day_7,day_35,day_65
pons_03-2,f,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1-1,0.39961093,0.446645163,0.515244996,0.526581159,0.461306231,0.469178823,0.45059014,0.455956286
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-2,0.494335329,0.251275853,0.37971343,0.388570501,0.441242008,0.349670523,NA,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-3,0.322945261,0.354495116,0.343519842,0.405149098,0.441383402,0.42688341,NA,NA
pons_03-2,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV2-1,0.511414778,0.471088513,0.679503623,0.663583846,0.623262655,0.575290768,0.536885847,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV2-2,0.28096083,0.284221918,0.409389764,0.430590282,0.292936209,0.365231696,0.279819293,NA
pons_03-2,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV3-1,0.478544459,0.440680954,0.578906053,0.526801556,0.523730216,0.526016,0.564732914,0.487455676
pons_03-2,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV3-2,0.475515697,0.480516317,0.537602962,0.496066195,0.527581764,0.471251314,0.534743631,0.437541221
pons_03-2,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV4-1,0.464694939,0.42286445,0.481175866,0.462089058,0.463092404,0.514561485,0.491519269,0.648594768
pons_03-2,f,psilocybin,pt,cell5,cell5_1,NA,NA,FOV5-1,0.434590507,0.510062067,0.626807949,0.604348286,0.592647028,0.662452487,0.644207217,0.694726195
pons_03-2,f,psilocybin,pt,cell6,cell6_1,NA,NA,FOV6-1,0.423601374,0.371699047,0.499598101,0.456915705,0.577288545,0.462865461,0.535089855,0.528193192
pons_03-2,f,psilocybin,pt,cell7,cell7_1,NA,NA,FOV6-2,0.559081218,0.577485755,0.666166598,0.606096523,0.579014209,0.649109552,0.602366094,0.663173071
pons_03-2,f,psilocybin,pt,cell8,cell8_1,cell8_1,NA,FOV7-1,0.421441245,0.414535837,0.450285065,0.342242124,0.421584568,0.448106509,NA,NA
pons_03-2,f,psilocybin,pt,cell8,cell8_2,cell8_2,NA,FOV8-1,0.41281033,0.387760219,0.446113902,0.389669768,0.50743734,0.400565278,0.422648195,NA
pons_03-2,f,psilocybin,pt,cell8,cell8_3,cell8_3,NA,FOV9-1,0.414882671,0.346663708,0.471715914,0.405783771,0.366775966,0.371877162,0.343649697,0.399506742
pons_03-2,f,psilocybin,pt,cell9,cell9_1,NA,NA,FOV10-1,0.483827379,0.547768869,0.663055457,0.623419372,0.553454734,0.665077482,0.667925335,0.54115131
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV12-1,0.256437347,0.28483861,0.363159069,0.410401629,0.330741339,0.490579834,0.476612619,0.40082616
pons_03-2,f,psilocybin,pt,cell10,cell10_1,NA,NA,FOV16-1,0.493047537,0.398431376,0.528234113,0.659123159,0.643649752,0.565165789,0.492251954,0.642078132
pons_05-1,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0.406147621,0.461652708,0.588481713,0.577747992,0.549440406,0.582667262,0.587189247,0.587866529
pons_05-1,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV2-1,0.558268196,0.574531233,0.664233475,0.707631571,0.642228194,0.639977149,0.56578555,0.485818271
pons_05-1,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV3-1,0.424715441,0.3999982,0.554222343,0.531655799,0.533691974,0.518783162,0.542762444,0.407141465
pons_05-1,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV5-1,0.622886856,0.639466327,0.668350911,0.644486312,0.74714888,0.673508128,0.646081783,0.684754726
pons_05-1,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV6-1,0.342031688,0.41576973,0.366983251,0.366936697,0.448343371,0.47021295,0.356418881,0.41861278
pons_05-1,f,psilocybin,pt,cell1,cell1_5,cell1_5,NA,FOV7-1,0.372832909,0.426754825,0.496513236,0.49024397,0.494835683,0.498812482,0.504722035,0.427908171
pons_05-1,f,psilocybin,pt,cell1,cell1_6,cell1_6,NA,FOV8-1,0.444658568,0.416595581,0.482009982,0.530831896,0.524173117,0.546694762,0.617874889,0.552041984
pons_05-1,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV9-1,0.364344874,0.341342169,0.401382361,0.457611451,0.435674921,0.376843271,0.413609176,0.315715594
pons_05-1,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV10-1,0.289549367,0.286363923,0.285325835,0.250416586,0.384068825,0.368258747,0.285055197,0.28391853
pons_05-1,f,psilocybin,pt,cell1,cell1_7,cell1_7,NA,FOV13-1,0.407967558,0.383952415,0.468958907,0.481638783,0.480040159,0.49685244,0.46726199,0.380982497
pons_05-1,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV14-1,0.501104309,0.529453828,0.586307197,0.598280856,0.617442123,0.494766912,0.573459913,0.495891105
pons_06-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0.411210374,0.413418971,0.493829599,0.437157514,0.451511299,0.438572639,0.42029816,0.431445362
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV2-1,0.545029423,0.436643088,0.525317898,0.508999968,0.501382981,0.532926669,NA,NA
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV3-1,0.448221792,0.479291651,0.555507,0.540208045,0.493287496,0.551896279,0.55064953,0.486574201
pons_06-3,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV4-1,0.668107067,0.60012768,0.711664619,0.788800901,0.726052551,0.699867686,0.656238149,0.730538095
pons_06-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-2,0.436119409,0.491135013,0.529716663,0.469571751,0.60844804,0.561620578,0.487709715,0.36940274
pons_06-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0.453095549,0.400313045,0.444751048,0.506152793,0.511224967,0.46285106,0.524879278,0.411218451
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV7-1,0.342661276,0.239951498,0.301542692,0.395834688,0.376856489,0.482455506,0.466479557,0.534378657
pons_06-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV8-1,0.463821892,0.549386462,0.563797287,0.484009535,0.55503444,0.52676023,0.687711873,0.37864063
pons_06-3,f,psilocybin,pt,cell3,cell3_1,NA,NA,FOV9-1,0.518591505,0.512279336,0.696080371,0.559733343,0.669896599,0.711664899,0.57887902,0.503439499
pons_06-3,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV10-1,0.533244076,0.599494712,0.575062025,0.454136731,0.679224394,0.541740705,0.542109728,0.569635576
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV10-2,0.761127687,0.737898465,0.86267879,0.772379702,0.836792074,0.662641341,0.659679343,0.907568986
pons_08-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV2-1,0.303434883,0.266621637,0.3221605,0.350819749,0.352160623,0.283573977,0.265777199,0.316221246
pons_08-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-1,0.394720612,0.36954915,0.504573963,0.453839482,0.472526325,0.463559104,0.407771648,0.460999447
pons_08-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0.316618514,0.343961751,0.563253351,0.603646022,0.562092483,0.547590147,0.638022495,0.714553672
pons_08-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV13-1,0.397438509,0.399908021,0.431305689,0.438277621,0.590018932,0.437359788,0.445414458,0.532765051
