mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3,day_5,day_7
pons_03-2,f,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1-1,0,0,0.1,0.2,0.25
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-2,0,-0.333333333,-0.5,-0.5,-0.3
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-3,0,0.075757576,-0.090909091,-0.019480519,-0.013986014
pons_03-2,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV2-1,0,-0.166666667,-0.041666667,-0.166666667,-0.166666667
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV2-2,0,-0.125,-0.034090909,0.208333333,-0.125
pons_03-2,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV3-1,0,-0.142857143,-0.00952381,-0.00952381,-0.00952381
pons_03-2,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV3-2,0,-0.04743083,-0.010909091,-0.04743083,0.029090909
pons_03-2,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV4-1,0,-0.117647059,0.049019608,0.007352941,0.007352941
pons_03-2,f,psilocybin,pt,cell5,cell5_1,NA,NA,FOV5-1,0,0,0,0.125,0
pons_03-2,f,psilocybin,pt,cell6,cell6_1,NA,NA,FOV6-1,0,-0.125,-0.013888889,-0.125,0.075
pons_03-2,f,psilocybin,pt,cell7,cell7_1,NA,NA,FOV6-2,0,0,0.1,0,0
pons_03-2,f,psilocybin,pt,cell8,cell8_1,cell8_1,NA,FOV7-1,0,0,0.301282051,-0.083333333,0
pons_03-2,f,psilocybin,pt,cell8,cell8_2,cell8_2,NA,FOV8-1,0,-0.1,0.081818182,-0.1,0.15
pons_03-2,f,psilocybin,pt,cell8,cell8_3,cell8_3,NA,FOV9-1,0,-0.166666667,0.119047619,0,-0.075757576
pons_03-2,f,psilocybin,pt,cell9,cell9_1,NA,NA,FOV10-1,0,0.0625,0.105263158,0.166666667,0
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV12-1,0,-0.1,0.042857143,0.15,-0.1
pons_03-2,f,psilocybin,pt,cell10,cell10_1,NA,NA,FOV16-1,0,-0.2,-0.2,-0.128571429,-0.046153846
pons_05-1,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0,0.042606516,0.021442495,0.062753036,0.067368421
pons_05-1,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV2-1,0,-0.003676471,-0.009868421,0.080357143,0.042763158
pons_05-1,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV3-1,0,0,0.032085561,0.036414566,0.077540107
pons_05-1,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV5-1,0,0,0,0,0.133333333
pons_05-1,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV6-1,0,-0.017857143,-0.142857143,-0.142857143,-0.142857143
pons_05-1,f,psilocybin,pt,cell1,cell1_5,cell1_5,NA,FOV7-1,0,0.077380952,0.05952381,0.05952381,0.095238095
pons_05-1,f,psilocybin,pt,cell1,cell1_6,cell1_6,NA,FOV8-1,0,-0.126293996,-0.048913043,-0.099838969,-0.062801932
pons_05-1,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV9-1,0,-0.070512821,-0.153846154,-0.028846154,-0.020512821
pons_05-1,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV10-1,0,0,0.125,0,0.181818182
pons_05-1,f,psilocybin,pt,cell1,cell1_7,cell1_7,NA,FOV13-1,0,0.058823529,0.05,0.095238095,0.142857143
pons_05-1,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV14-1,0,0,0.105263158,0.052631579,0.1
pons_06-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0,0.157894737,0.174641148,0.097368421,0.047368421
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV2-1,0,-0.166666667,0.064102564,0,-0.166666667
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV3-1,0,0,0,0.2,0
