mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3,day_5,day_7
pons_03-2,f,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1-1,0,0,0.1,0.2,0.25
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-2,0.5,0.166666667,0,0,0.2
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-3,0.090909091,0.166666667,0,0.071428571,0.076923077
pons_03-2,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV2-1,0.166666667,0,0.125,0,0
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV2-2,0.125,0,0.090909091,0.333333333,0
pons_03-2,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV3-1,0.142857143,0,0.133333333,0.133333333,0.133333333
pons_03-2,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV3-2,0.090909091,0.043478261,0.08,0.043478261,0.12
pons_03-2,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV4-1,0.117647059,0,0.166666667,0.125,0.125
pons_03-2,f,psilocybin,pt,cell5,cell5_1,NA,NA,FOV5-1,0,0,0,0.125,0
pons_03-2,f,psilocybin,pt,cell6,cell6_1,NA,NA,FOV6-1,0.125,0,0.111111111,0,0.2
pons_03-2,f,psilocybin,pt,cell7,cell7_1,NA,NA,FOV6-2,0,0,0.1,0,0
pons_03-2,f,psilocybin,pt,cell8,cell8_1,cell8_1,NA,FOV7-1,0.083333333,0.083333333,0.384615385,0,0.083333333
pons_03-2,f,psilocybin,pt,cell8,cell8_2,cell8_2,NA,FOV8-1,0.1,0,0.181818182,0,0.25
pons_03-2,f,psilocybin,pt,cell8,cell8_3,cell8_3,NA,FOV9-1,0.166666667,0,0.285714286,0.166666667,0.090909091
pons_03-2,f,psilocybin,pt,cell9,cell9_1,NA,NA,FOV10-1,0,0.0625,0.105263158,0.166666667,0
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV12-1,0.1,0,0.142857143,0.25,0
pons_03-2,f,psilocybin,pt,cell10,cell10_1,NA,NA,FOV16-1,0.2,0,0,0.071428571,0.153846154
pons_05-1,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0.052631579,0.095238095,0.074074074,0.115384615,0.12
pons_05-1,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV2-1,0.0625,0.058823529,0.052631579,0.142857143,0.105263158
pons_05-1,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV3-1,0.058823529,0.058823529,0.090909091,0.095238095,0.136363636
pons_05-1,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV5-1,0,0,0,0,0.133333333
pons_05-1,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV6-1,0.142857143,0.125,0,0,0
pons_05-1,f,psilocybin,pt,cell1,cell1_5,cell1_5,NA,FOV7-1,0.047619048,0.125,0.107142857,0.107142857,0.142857143
pons_05-1,f,psilocybin,pt,cell1,cell1_6,cell1_6,NA,FOV8-1,0.173913043,0.047619048,0.125,0.074074074,0.111111111
pons_05-1,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV9-1,0.153846154,0.083333333,0,0.125,0.133333333
pons_05-1,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV10-1,0,0,0.125,0,0.181818182
pons_05-1,f,psilocybin,pt,cell1,cell1_7,cell1_7,NA,FOV13-1,0,0.058823529,0.05,0.095238095,0.142857143
pons_05-1,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV14-1,0,0,0.105263158,0.052631579,0.1
