mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3,day_5,day_7
pons_03-2,f,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1-1,0,0.107142857,-0.042857143,-0.142857143,0.107142857
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-2,0,0.5,0.125,0.111111111,0
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-3,0,-0.098484848,0.090909091,-0.038961039,-0.181818182
pons_03-2,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV2-1,0,-0.023809524,-0.166666667,-0.041666667,-0.041666667
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV2-2,0,0.25,0.056818182,-0.125,0.125
pons_03-2,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV3-1,0,0.082417582,0.061904762,0.061904762,0.061904762
pons_03-2,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV3-2,0,-0.005928854,-0.096363636,-0.005928854,-0.096363636
pons_03-2,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV4-1,0,0.2,0.055555556,0.125,0.1875
pons_03-2,f,psilocybin,pt,cell5,cell5_1,NA,NA,FOV5-1,0,-0.023809524,-0.166666667,-0.041666667,-0.041666667
pons_03-2,f,psilocybin,pt,cell6,cell6_1,NA,NA,FOV6-1,0,0.285714286,0,0.25,0
pons_03-2,f,psilocybin,pt,cell7,cell7_1,NA,NA,FOV6-2,0,0.111111111,0,0,0.111111111
pons_03-2,f,psilocybin,pt,cell8,cell8_1,cell8_1,NA,FOV7-1,0,0.083333333,0.147435897,0.116666667,0.083333333
pons_03-2,f,psilocybin,pt,cell8,cell8_2,cell8_2,NA,FOV8-1,0,0.222222222,0,0.333333333,0.083333333
pons_03-2,f,psilocybin,pt,cell8,cell8_3,cell8_3,NA,FOV9-1,0,0.4,0.142857143,0.083333333,0.090909091
pons_03-2,f,psilocybin,pt,cell9,cell9_1,NA,NA,FOV10-1,0,0.107142857,-0.037593985,-0.087301587,0.044642857
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV12-1,0,0.072727273,0.085714286,-0.1375,0.338461538
pons_03-2,f,psilocybin,pt,cell10,cell10_1,NA,NA,FOV16-1,0,0.375,0.272727273,0.214285714,0
pons_05-1,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0,-0.062656642,-0.046783626,-0.08097166,0.002105263
pons_05-1,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV2-1,0,0.051470588,0.032894737,-0.077380952,0.097222222
pons_05-1,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV3-1,0,0.4375,0.045454545,0.142857143,0.090909091
pons_05-1,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV5-1,0,0.1,0.090909091,0.25,0
pons_05-1,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV6-1,0,-0.285714286,-0.285714286,0,-0.174603175
pons_05-1,f,psilocybin,pt,cell1,cell1_5,cell1_5,NA,FOV7-1,0,0.101190476,-0.083333333,-0.083333333,0.05952381
pons_05-1,f,psilocybin,pt,cell1,cell1_6,cell1_6,NA,FOV8-1,0,0.103519669,0.163043478,-0.012882448,0.061191626
pons_05-1,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV9-1,0,0.173076923,0.065934066,-0.014423077,-0.076923077
pons_05-1,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV10-1,0,0,0,0.571428571,0.090909091
pons_05-1,f,psilocybin,pt,cell1,cell1_7,cell1_7,NA,FOV13-1,0,0.235294118,0.1,0.095238095,0.19047619
pons_05-1,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV14-1,0,0.055147059,0.042763158,0.042763158,0.0375
pons_06-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0,0.052631579,-0.0215311,-0.007894737,-0.057894737
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV2-1,0,0.098484848,0.070512821,0.083333333,0
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV3-1,0,0.070512821,-0.083333333,-0.016666667,0.070512821
pons_06-3,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV4-1,0,0.300309598,0.090225564,0.030701754,-0.005012531
pons_06-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-2,0,0.072727273,-0.116666667,0.072727273,-0.128571429
pons_06-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0,0.25,0.222222222,0.2,0
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV7-1,0,0.145299145,0.377622378,0.137362637,0.208791209
pons_06-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV8-1,0,-0.195804196,-0.201298701,-0.022727273,-0.272727273
pons_06-3,f,psilocybin,pt,cell3,cell3_1,NA,NA,FOV9-1,0,0.272727273,-0.019480519,0.075757576,0.062937063
pons_06-3,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV10-1,0,-0.087912088,-0.230769231,0.223776224,-0.168269231
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV10-2,0,0.090909091,0.075757576,-0.007575758,0
pons_08-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV2-1,0,0.178571429,0.142857143,-0.004761905,-0.004761905
pons_08-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-1,0,0.333333333,0.1,0.166666667,0.052631579
pons_08-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0,0.5,0.333333333,0.076923077,0.166666667
pons_08-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV13-1,0,0,0.051470588,0.413461538,-0.081521739
pons_08-3,f,psilocybin,pt,cell2,cell2_1,cell2_1,NA,FOV14-1,0,0.333333333,0.083333333,0.166666667,0.076923077
pons_08-3,f,psilocybin,pt,cell2,cell2_2,cell2_2,NA,FOV18-1,0,0.333333333,0.25,0,0.142857143
