mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3,day_5,day_7
pons_03-2,f,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1-1,0.142857143,0.25,0.1,0,0.25
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-2,0,0.5,0.125,0.111111111,0
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-3,0.181818182,0.083333333,0.272727273,0.142857143,0
pons_03-2,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV2-1,0.166666667,0.142857143,0,0.125,0.125
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV2-2,0.125,0.375,0.181818182,0,0.25
pons_03-2,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV3-1,0.071428571,0.153846154,0.133333333,0.133333333,0.133333333
pons_03-2,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV3-2,0.136363636,0.130434783,0.04,0.130434783,0.04
pons_03-2,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV4-1,0,0.2,0.055555556,0.125,0.1875
pons_03-2,f,psilocybin,pt,cell5,cell5_1,NA,NA,FOV5-1,0.166666667,0.142857143,0,0.125,0.125
pons_03-2,f,psilocybin,pt,cell6,cell6_1,NA,NA,FOV6-1,0,0.285714286,0,0.25,0
pons_03-2,f,psilocybin,pt,cell7,cell7_1,NA,NA,FOV6-2,0,0.111111111,0,0,0.111111111
pons_03-2,f,psilocybin,pt,cell8,cell8_1,cell8_1,NA,FOV7-1,0.083333333,0.166666667,0.230769231,0.2,0.166666667
pons_03-2,f,psilocybin,pt,cell8,cell8_2,cell8_2,NA,FOV8-1,0,0.222222222,0,0.333333333,0.083333333
pons_03-2,f,psilocybin,pt,cell8,cell8_3,cell8_3,NA,FOV9-1,0,0.4,0.142857143,0.083333333,0.090909091
pons_03-2,f,psilocybin,pt,cell9,cell9_1,NA,NA,FOV10-1,0.142857143,0.25,0.105263158,0.055555556,0.1875
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV12-1,0.2,0.272727273,0.285714286,0.0625,0.538461538
pons_03-2,f,psilocybin,pt,cell10,cell10_1,NA,NA,FOV16-1,0,0.375,0.272727273,0.214285714,0
pons_05-1,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0.157894737,0.095238095,0.111111111,0.076923077,0.16
pons_05-1,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV2-1,0.125,0.176470588,0.157894737,0.047619048,0.222222222
pons_05-1,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV3-1,0,0.4375,0.045454545,0.142857143,0.090909091
pons_05-1,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV5-1,0,0.1,0.090909091,0.25,0
pons_05-1,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV6-1,0.285714286,0,0,0.285714286,0.111111111
pons_05-1,f,psilocybin,pt,cell1,cell1_5,cell1_5,NA,FOV7-1,0.19047619,0.291666667,0.107142857,0.107142857,0.25
pons_05-1,f,psilocybin,pt,cell1,cell1_6,cell1_6,NA,FOV8-1,0.086956522,0.19047619,0.25,0.074074074,0.148148148
pons_05-1,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV9-1,0.076923077,0.25,0.142857143,0.0625,0
pons_05-1,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV10-1,0,0,0,0.571428571,0.090909091
pons_05-1,f,psilocybin,pt,cell1,cell1_7,cell1_7,NA,FOV13-1,0,0.235294118,0.1,0.095238095,0.19047619
pons_05-1,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV14-1,0.0625,0.117647059,0.105263158,0.105263158,0.1
pons_06-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0.157894737,0.210526316,0.136363636,0.15,0.1
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV2-1,0.083333333,0.181818182,0.153846154,0.166666667,0.083333333
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV3-1,0.083333333,0.153846154,0,0.066666667,0.153846154
pons_06-3,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV4-1,0.052631579,0.352941176,0.142857143,0.083333333,0.047619048
pons_06-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-2,0.2,0.272727273,0.083333333,0.272727273,0.071428571
pons_06-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0,0.25,0.222222222,0.2,0
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV7-1,0.076923077,0.222222222,0.454545455,0.214285714,0.285714286
pons_06-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV8-1,0.272727273,0.076923077,0.071428571,0.25,0
pons_06-3,f,psilocybin,pt,cell3,cell3_1,NA,NA,FOV9-1,0.090909091,0.363636364,0.071428571,0.166666667,0.153846154
pons_06-3,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV10-1,0.230769231,0.142857143,0,0.454545455,0.0625
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV10-2,0.090909091,0.181818182,0.166666667,0.083333333,0.090909091
pons_08-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV2-1,0.071428571,0.25,0.214285714,0.066666667,0.066666667
pons_08-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-1,0,0.333333333,0.1,0.166666667,0.052631579
pons_08-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0,0.5,0.333333333,0.076923077,0.166666667
pons_08-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV13-1,0.125,0.125,0.176470588,0.538461538,0.043478261
pons_08-3,f,psilocybin,pt,cell2,cell2_1,cell2_1,NA,FOV14-1,0,0.333333333,0.083333333,0.166666667,0.076923077
pons_08-3,f,psilocybin,pt,cell2,cell2_2,cell2_2,NA,FOV18-1,0,0.333333333,0.25,0,0.142857143
pons_08-3,f,psilocybin,pt,cell2,cell2_3,cell2_3,NA,FOV18-2,0.071428571,0.153846154,0,0.307692308,0
pons_08-3,f,psilocybin,pt,cell2,cell2_4,cell2_4,NA,FOV19-1,0.076923077,0.153846154,0.142857143,0.2,0.266666667
pons_08-1,m,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1,0.25,0.666666667,0,0.166666667,0.25
pons_08-1,m,psilocybin,pt,cell2,cell2_1,NA,NA,FOV2,0.181818182,0.083333333,0.454545455,0.125,0.0625
pons_08-1,m,psilocybin,pt,cell3,cell3_1,NA,NA,FOV6-1,0.090909091,0.444444444,0.090909091,0.090909091,0.2
pons_08-1,m,psilocybin,pt,NA,NA,NA,NA,FOV6-2,0.25,0.333333333,0.1,0.1,0.1
pons_08-1,m,psilocybin,pt,cell5,cell5_1,cell5_1,NA,FOV9-1,0.076923077,0.166666667,0.076923077,0.090909091,0
pons_08-1,m,psilocybin,pt,cell5,cell5_2,cell5_2,NA,FOV9-2,0,0.166666667,0,0,0.142857143
pons_08-1,m,psilocybin,pt,cell4,cell4_1,cell4_1,NA,FOV10-1,0.25,0.4,0.071428571,0.153846154,0
pons_08-1,m,psilocybin,pt,cell4,cell4_2,cell4_2,NA,FOV12-1,0,0.285714286,0.222222222,0.111111111,0.111111111
