mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3,day_5,day_7,day_35,day_65
pons_03-2,f,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1-1,0,0.013731376,-0.157260396,-0.101690016,-0.008644652,-0.000667111,0.046030687,-0.062708472
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-2,0,-0.067472589,-0.071830194,-0.044888014,0.090602397,-0.003514197,NA,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-3,0,-0.006480521,0.061176122,0.227744038,0.16240557,0.119738875,NA,NA
pons_03-2,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV2-1,0,-0.052479073,0.091918867,0.100266765,0.174776929,-0.00128783,-0.033161623,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV2-2,0,0.105980143,0.265296698,0.336411914,0.354883399,0.250704225,0.3154006,NA
pons_03-2,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV3-1,0,-0.016893383,0.000886802,0.086089376,0.131733612,0.083202921,-0.010302556,0.049556599
pons_03-2,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV3-2,0,-0.058949143,-0.036687272,0.056960977,0.097894826,0.124566009,0.074477094,0.210352497
pons_03-2,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV4-1,0,-0.05588509,0.12486431,0.07862657,0.009300855,0.100488486,0.058705513,-0.045322658
pons_03-2,f,psilocybin,pt,cell5,cell5_1,NA,NA,FOV5-1,0,-0.000853796,0.016076978,0.19178819,0.033110208,0.194676867,-0.074507929,0.162706192
pons_03-2,f,psilocybin,pt,cell6,cell6_1,NA,NA,FOV6-1,0,-0.021000335,0.138468103,0.091956475,0.151610838,0.120546192,0.208235545,0.224569139
pons_03-2,f,psilocybin,pt,cell7,cell7_1,NA,NA,FOV6-2,0,-0.055605923,0.072166818,0.122695678,0.094137202,0.101269266,0.063614385,0.081822303
pons_03-2,f,psilocybin,pt,cell8,cell8_1,cell8_1,NA,FOV7-1,0,0.063854545,0.162204196,0.110283636,0.1744,0.29459021,NA,NA
pons_03-2,f,psilocybin,pt,cell8,cell8_2,cell8_2,NA,FOV8-1,0,0.001648018,-0.023490171,0.002688872,0.130887328,0.107884465,-0.096955504,NA
pons_03-2,f,psilocybin,pt,cell8,cell8_3,cell8_3,NA,FOV9-1,0,-0.000684897,0.024175988,-0.045567469,0.028162981,-0.006575015,0.030364614,0.03999445
pons_03-2,f,psilocybin,pt,cell9,cell9_1,NA,NA,FOV10-1,0,-0.022197839,0.228070175,-0.035699102,-0.007624353,-0.115806058,0.001412959,0.117668242
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV12-1,0,0.040098222,-0.080269686,0.028773375,0.047332009,-0.061020762,-0.118234887,-0.05556969
pons_03-2,f,psilocybin,pt,cell10,cell10_1,NA,NA,FOV16-1,0,0.177010736,0.227589514,0.061405161,0.167953789,0.371980816,0.182896967,0.32362834
pons_05-1,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0,0.002596602,0.069018279,0.037124982,0.102842884,0.027264325,0.115267311,-0.012842884
pons_05-1,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV2-1,0,0.002834485,0.109736985,-0.044215846,0.075177386,-0.044094264,0.105563871,0.004254003
pons_05-1,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV3-1,0,-0.048797054,0.050877926,0.056661652,0.019712586,0.017391675,0.141005943,0.149990197
pons_05-1,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV5-1,0,0.118103963,0.235175898,0.049425745,0.011750647,0.121443782,0.091250083,0.13492562
pons_05-1,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV6-1,0,-0.117081448,0.088830674,-0.079542748,-0.020322299,0.188616337,0.024202191,0.059418909
pons_05-1,f,psilocybin,pt,cell1,cell1_5,cell1_5,NA,FOV7-1,0,0.018301426,-0.014571384,-0.142284142,-0.147399628,-0.039459266,-9.69E-05,-0.046712279
pons_05-1,f,psilocybin,pt,cell1,cell1_6,cell1_6,NA,FOV8-1,0,-0.050599417,0.021429099,0.042704938,-0.003749408,0.025860067,0.009904031,-0.04424634
pons_05-1,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV9-1,0,-0.000684897,0.024175988,-0.045567469,0.028162981,-0.006575015,0.030364614,0.03999445
pons_05-1,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV10-1,0,0.177572016,0.032921811,0.02010582,-0.084474373,-0.087736626,-0.040123457,-0.04244562
pons_05-1,f,psilocybin,pt,cell1,cell1_7,cell1_7,NA,FOV13-1,0,0.02296496,-0.036361186,0.07808497,0.072760878,0.035079637,0.031624344,-0.057095687
pons_05-1,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV14-1,0,-0.072286799,-0.073852295,-0.121336275,-0.01071191,0.070858283,0.020135168,-0.027435325
pons_06-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0,-0.140760707,0.035466979,0.10316462,0.054227813,0.055271039,-0.049399354,0.015444333
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV2-1,0,0.305701598,0.611886149,0.449934494,0.338386674,0.254783397,NA,NA
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV3-1,0,-0.00734673,-0.030282862,0.100698835,0.150851146,0.006465415,-0.089517471,0.026622296
pons_06-3,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV4-1,0,0.165494211,0.151392674,0.207650845,0.125259106,-0.003372554,-0.077850163,0.006319218
pons_06-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-2,0,0.215676978,0.164529915,0.020900004,0.387129819,0.093671648,0.194342381,0.190514993
pons_06-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0,0.064316329,0.066694543,0.012711687,0.13934769,0.013380723,0.083524984,0.104536902
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV7-1,0,0.619490677,0.310900265,0.21899148,0.20128294,0.269773848,0.09898482,0.297195254
pons_06-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV8-1,0,-0.216812177,-0.149309471,-0.16424011,-0.123583353,-0.13019283,-0.136456581,-0.119658341
pons_06-3,f,psilocybin,pt,cell3,cell3_1,NA,NA,FOV9-1,0,-0.001932537,0.073386206,0.14502811,0.126223039,0.319508583,0.109276177,0.049947294
pons_06-3,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV10-1,0,-0.138351622,-0.03125217,-0.176117028,-0.213865763,-0.135877491,-0.22107438,-0.28572152
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV10-2,0,0.014390842,0.178250204,0.236563096,0.075224857,0.290678659,-0.040130826,0.170501289
