mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3,day_5,day_7,day_35,day_65
pons_03-2,f,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1-1,1.554677143,1.576025,1.310188,1.396582,1.5412375,1.55364,1.62624,1.457185714
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-2,1.434656667,1.337856667,1.331605,1.370257778,1.56464,1.429615,NA,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-3,1.48522,1.475595,1.57608,1.82347,1.726428,1.663058571,NA,NA
pons_03-2,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV2-1,1.252753333,1.18701,1.367905,1.378362857,1.471705714,1.25114,1.21121,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV2-2,1.3101275,1.448975,1.6577,1.75087,1.77507,1.638582,1.7233425,NA
pons_03-2,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV3-1,1.325468571,1.303076923,1.326644,1.439577333,1.500077333,1.435751429,1.311812857,1.391154286
pons_03-2,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV3-2,1.29899,1.222415652,1.2513336,1.372981739,1.4261544,1.4608,1.395735,1.572235789
pons_03-2,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV4-1,1.631934118,1.540733333,1.835704444,1.7602475,1.6471125,1.795924706,1.727737647,1.557970526
pons_03-2,f,psilocybin,pt,cell5,cell5_1,NA,NA,FOV5-1,1.687143333,1.685702857,1.7142675,2.0107175,1.743005,2.015591111,1.561437778,1.961652
pons_03-2,f,psilocybin,pt,cell6,cell6_1,NA,NA,FOV6-1,1.4178175,1.388042857,1.61414,1.548195,1.632774,1.58873,1.7130575,1.736215556
pons_03-2,f,psilocybin,pt,cell7,cell7_1,NA,NA,FOV6-2,1.779506667,1.680555556,1.907928,1.997844444,1.947024444,1.959716,1.892708889,1.92511
pons_03-2,f,psilocybin,pt,cell8,cell8_1,cell8_1,NA,FOV7-1,1.386458333,1.47499,1.611347692,1.539362,1.628256667,1.794895385,NA,NA
