mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3,day_5,day_7,day_35,day_65
pons_03-2,f,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1-1,0,-0.228441296,-0.032186235,0.035263158,0.090738866,0.069838057,0.038461538,0.076518219
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-2,0,-0.046848173,0.239146431,0.079551958,0.185871965,0.15084621,NA,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-3,0,0.000568627,0.241882353,0.219983193,0.199560784,0.139008403,NA,NA
pons_03-2,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV2-1,0,-0.10988075,0.058241056,0.320759309,0.280238501,0.199561937,0.169080068,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV2-2,0,-0.00604767,0.317163093,0.315308905,0.303450729,0.227748132,0.1736037,NA
pons_03-2,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV3-1,0,-0.006447016,0.050257315,0.146801941,0.127863549,0.085575651,0.023820026,0.142258491
pons_03-2,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV3-2,0,0.004573269,0.075437037,0.197552335,0.181985185,0.312323232,0.07691358,0.085380117
pons_03-2,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV4-1,0,-0.062810427,0.111393902,0.285554527,0.2509737,0.140058615,0.097639981,0.133360936
pons_03-2,f,psilocybin,pt,cell5,cell5_1,NA,NA,FOV5-1,0,0.001514798,0.135705546,0.301794454,0.214314845,0.259923872,0.186786297,-0.04004894
pons_03-2,f,psilocybin,pt,cell6,cell6_1,NA,NA,FOV6-1,0,-0.07501079,0.075260154,0.094864048,0.12652568,0.09244713,-0.026888218,0.05565626
pons_03-2,f,psilocybin,pt,cell7,cell7_1,NA,NA,FOV6-2,0,0.184845006,0.179247991,0.18771527,0.186854191,0.147990815,0.120264064,0.042078071
pons_03-2,f,psilocybin,pt,cell8,cell8_1,cell8_1,NA,FOV7-1,0,-0.012003492,0.11446127,0.242950677,0.123090354,0.204915556,NA,NA
pons_03-2,f,psilocybin,pt,cell8,cell8_2,cell8_2,NA,FOV8-1,0,0.185897436,0.144045349,0.334498834,0.258498446,0.277972028,0.216491841,NA
pons_03-2,f,psilocybin,pt,cell8,cell8_3,cell8_3,NA,FOV9-1,0,-0.139915161,0.015863242,0.030967775,-0.048303229,0.075944171,-0.101135742,-0.008532723
pons_03-2,f,psilocybin,pt,cell9,cell9_1,NA,NA,FOV10-1,0,0.0151768,0.129257385,0.016316876,0.182189248,0.095093859,0.065989135,0.018533887
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV12-1,0,0.045477126,0.081363991,0.100658222,0.003859528,0.207807148,0.08064249,0.189234263
pons_03-2,f,psilocybin,pt,cell10,cell10_1,NA,NA,FOV16-1,0,0.286147388,0.427521483,0.186700426,0.264925373,0.416475316,0.3480891,0.256218905
pons_05-1,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0,0.024197918,0.050201813,-0.026208678,0.122862234,0.049222334,0.075868614,0.04524743
pons_05-1,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV2-1,0,-0.047577318,0.082426737,0.066004552,0.150641968,0.002972982,-0.035600833,0.022789749
pons_05-1,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV3-1,0,0.158588507,0.241938682,0.17041387,0.217434411,0.159276127,0.170821349,0.078187919
pons_05-1,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV5-1,0,0.027858527,0.127774841,0.113937339,0.022125323,0.017069171,-0.042716408,-0.074426058
pons_05-1,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV6-1,0,0.114919355,0.247580645,0.195967742,0.147535842,0.272137097,0.234173387,0.202419355
pons_05-1,f,psilocybin,pt,cell1,cell1_5,cell1_5,NA,FOV7-1,0,-0.181191801,-0.157203254,-0.133442149,-0.16193942,-0.183397491,-0.183693674,-0.187262219
pons_05-1,f,psilocybin,pt,cell1,cell1_6,cell1_6,NA,FOV8-1,0,-0.080522624,0.018577109,0.032119256,-0.068706777,-0.063537344,-0.037292531,-0.090122999
pons_05-1,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV9-1,0,-0.139915161,0.015863242,0.030967775,-0.048303229,0.075944171,-0.101135742,-0.008532723
pons_05-1,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV10-1,0,0.183563489,0.254968003,0.24678824,0.122875777,0.151094645,0.098012799,-0.028821633
pons_05-1,f,psilocybin,pt,cell1,cell1_7,cell1_7,NA,FOV13-1,0,0.016469857,0.015615289,0.05265767,0.108001125,0.142882366,0.057808053,0.030968381
pons_05-1,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV14-1,0,0.019210189,0.045034298,0.15202411,0.236504623,0.182373993,0.025319039,0.026087262
pons_06-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0,-0.032405944,0.084528497,0.110986405,0.318376541,0.225719254,0.119296027,0.117117033
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV2-1,0,0.083848191,0.115260144,0.238403452,0.197950378,0.277819268,NA,NA
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV3-1,0,0.060697578,0.118809341,0.084731845,0.2392965,0.090069284,0.176949302,-0.123428278
pons_06-3,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV4-1,0,0.179661145,0.210471247,0.190650231,0.188172381,0.189965398,0.194165705,0.164653979
pons_06-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-2,0,-0.062391727,0.062493892,0.018629567,0.074674373,0.007825361,0.05967325,0.035620053
pons_06-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0,0.056501548,0.282421741,0.146749226,0.187616099,0.146542828,0.03998968,0.127278982
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV7-1,0,0.125861053,0.252362295,-0.004444737,0.13423106,0.096732478,0.094901539,0.050959002
pons_06-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV8-1,0,0.07438506,0.213892926,0.118298048,0.163773125,0.166515091,0.12409495,0.03285675
pons_06-3,f,psilocybin,pt,cell3,cell3_1,NA,NA,FOV9-1,0,0.026480214,0.215157054,0.185039175,0.199116563,0.224274238,0.318952693,0.093127046
pons_06-3,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV10-1,0,0.061537942,0.094669862,0.063971473,0.122755198,0.030954631,0.138812511,0.015497007
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV10-2,0,0.056948798,0.118861024,0.145354406,0.05015674,0.306896552,-0.02816092,-0.102122016
pons_08-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV2-1,0,0.040666667,0.026863158,0.147078947,0.201150877,0.248323887,0.237894737,0.104842105
pons_08-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-1,0,0.068913227,0.135467565,0.101563231,0.141488937,0.141814097,0.302344021,0.184232696
pons_08-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0,0.033165105,0.043739486,0.103211136,0.112953617,0.08988224,0.072819034,-0.001802451
pons_08-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV13-1,0,0.025649854,0.061557624,0.217907304,0.084733584,0.123773455,0.102809816,0.031878433
pons_08-3,f,psilocybin,pt,cell2,cell2_1,cell2_1,NA,FOV14-1,0,0.085794347,-0.037321313,-0.103435673,-0.019418204,-0.009934023,-0.057296018,0.051218324
pons_08-3,f,psilocybin,pt,cell2,cell2_2,cell2_2,NA,FOV18-1,0,0.006419753,0.098888889,0.112962963,0.052698413,-0.003703704,0.192098765,0.169876543
pons_08-3,f,psilocybin,pt,cell2,cell2_3,cell2_3,NA,FOV18-2,0,0.097021175,0.166796267,0.184112932,0.031663103,0.051534003,-0.031104199,0.056959565
pons_08-3,f,psilocybin,pt,cell2,cell2_4,cell2_4,NA,FOV19-1,0,-0.147425897,-0.042093827,-0.040951638,-0.087725652,-0.05257627,-0.055474587,0.0224909
