mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3,day_5,day_7,day_35,day_65
pons_03-2,f,psilocybin,pt,cell1,cell1_1,NA,NA,FOV1-1,0.853914286,0.658845,0.82643,0.884026,0.9313975,0.91355,0.886757143,0.919254286
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-2,0.822195,0.783676667,1.01882,0.887602222,0.975018,0.94622,NA,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV1-3,0.935,0.935531667,1.16116,1.140684286,1.121589333,1.064972857,NA,NA
pons_03-2,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV2-1,0.947026667,0.842966667,1.0021825,1.250794286,1.21242,1.136017143,1.10715,NA
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV2-2,0.8503275,0.845185,1.12002,1.118443333,1.10836,1.043988,0.9979475,NA
pons_03-2,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV3-1,0.783734286,0.778681538,0.823122667,0.898788,0.883945333,0.850802857,0.802402857,0.895227143
pons_03-2,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV3-2,0.81675,0.820485217,0.8783632,0.97810087,0.9653864,1.07184,0.879569167,0.886484211
pons_03-2,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV4-1,0.922874118,0.864908,1.025676667,1.186405,1.15449125,1.052130588,1.012983529,1.045949474
pons_03-2,f,psilocybin,pt,cell5,cell5_1,NA,NA,FOV5-1,0.988973333,0.990471429,1.1231825,1.28744,1.200925,1.246031111,1.1737,0.949366
pons_03-2,f,psilocybin,pt,cell6,cell6_1,NA,NA,FOV6-1,1.001275,0.926168571,1.076631111,1.09626,1.127962,1.09384,0.9743525,1.057002222
pons_03-2,f,psilocybin,pt,cell7,cell7_1,NA,NA,FOV6-2,0.936808889,1.109973333,1.10473,1.112662222,1.111855556,1.075448,1.049473333,0.976228
pons_03-2,f,psilocybin,pt,cell8,cell8_1,cell8_1,NA,FOV7-1,0.924036667,0.912945,1.029803077,1.148532,1.037776667,1.113386154,NA,NA
pons_03-2,f,psilocybin,pt,cell8,cell8_2,cell8_2,NA,FOV8-1,0.830544,0.98494,0.95018,1.10836,1.045238333,1.061412,1.01035,NA
pons_03-2,f,psilocybin,pt,cell8,cell8_3,cell8_3,NA,FOV9-1,0.906941538,0.780046667,0.921328571,0.9350275,0.863133333,0.975818462,0.815217333,0.899202857
pons_03-2,f,psilocybin,pt,cell9,cell9_1,NA,NA,FOV10-1,0.958147143,0.97268875,1.081994737,0.973781111,1.13271125,1.049261053,1.021374444,0.975905333
pons_03-2,f,psilocybin,pt,NA,NA,NA,NA,FOV12-1,0.974292,1.0186,1.053564286,1.0723625,0.978052308,1.176756842,1.052861333,1.158661429
pons_03-2,f,psilocybin,pt,cell10,cell10_1,NA,NA,FOV16-1,0.778272,1.0009725,1.111,0.923575714,0.984456,1.102403077,1.04918,0.97768
pons_05-1,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0.929152632,0.95163619,0.975797778,0.904800769,1.0433104,0.974887692,0.999646154,0.9711944
pons_05-1,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV2-1,0.974655,0.928283529,1.054992632,1.038986667,1.121478947,0.977552632,0.939956471,0.996867143
pons_05-1,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV3-1,0.848423529,0.98297375,1.05369,0.993006667,1.0329,0.983557143,0.993352381,0.91476
pons_05-1,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV5-1,0.998976,1.026806,1.12662,1.112796667,1.021078667,1.016027692,0.956303333,0.924626154
pons_05-1,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV6-1,0.857371429,0.9559,1.06964,1.025388571,0.983864444,1.090694,1.058145,1.03092
pons_05-1,f,psilocybin,pt,cell1,cell1_5,cell1_5,NA,FOV7-1,1.076669524,0.881585833,0.907413571,0.932996429,0.902314286,0.879211034,0.878892143,0.87505
pons_05-1,f,psilocybin,pt,cell1,cell1_6,cell1_6,NA,FOV8-1,1.014295652,0.932621905,1.033138333,1.046874074,0.944606667,0.94985,0.97647,0.922884286
pons_05-1,f,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV9-1,0.906941538,0.780046667,0.921328571,0.9350275,0.863133333,0.975818462,0.815217333,0.899202857
pons_05-1,f,psilocybin,pt,cell3,cell3_2,cell3_2,NA,FOV10-1,0.8981225,1.062985,1.127115,1.119768571,1.00848,1.033824,0.98615,0.872237143
pons_05-1,f,psilocybin,pt,cell1,cell1_7,cell1_7,NA,FOV13-1,0.916183529,0.931272941,0.93049,0.964427619,1.015132381,1.04709,0.969146316,0.94455625
pons_05-1,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV14-1,1.0142825,1.033767059,1.05996,1.168477895,1.254165,1.19926125,1.039963158,1.040742353
pons_06-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV1-1,0.805732632,0.779622105,0.87384,0.895158,1.062259,0.987602,0.901853333,0.900097647
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV2-1,0.74778,0.81048,0.833969231,0.926053333,0.895803333,0.955527692,NA,NA
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV3-1,0.785895,0.833596923,0.879266667,0.852485333,0.973956923,0.85668,0.924958571,0.688893333
pons_06-3,f,psilocybin,pt,cell2,cell2_1,NA,NA,FOV4-1,0.736189474,0.868454118,0.89113619,0.876544167,0.87472,0.87604,0.879132222,0.857406
pons_06-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-2,0.825462,0.77396,0.877048333,0.84084,0.887102857,0.831921538,0.87472,0.854865
pons_06-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0.78166,0.825825,1.002417778,0.896368,0.928312,0.896206667,0.812918333,0.881148889
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV7-1,0.807721538,0.909382222,1.01156,0.804131429,0.916142857,0.885854444,0.884375556,0.848882222
pons_06-3,f,psilocybin,pt,cell1,cell1_4,cell1_4,NA,FOV8-1,0.80014,0.859658462,0.971284286,0.894795,0.931181429,0.933375385,0.899433333,0.82643
pons_06-3,f,psilocybin,pt,cell3,cell3_1,NA,NA,FOV9-1,0.73942,0.759,0.898511429,0.876241667,0.886650769,0.905252857,0.97526,0.80828
pons_06-3,f,psilocybin,pt,cell4,cell4_1,NA,NA,FOV10-1,0.787803077,0.836282857,0.862384286,0.8382,0.88451,0.812189231,0.89716,0.800011667
pons_06-3,f,psilocybin,pt,NA,NA,NA,NA,FOV10-2,0.84216,0.89012,0.94226,0.964571667,0.8844,1.100616,0.818444,0.756156923
pons_08-3,f,psilocybin,pt,cell1,cell1_1,cell1_1,NA,FOV2-1,0.821071429,0.854461667,0.843128,0.94183375,0.986230667,1.024963077,1.0164,0.907154286
pons_08-3,f,psilocybin,pt,cell1,cell1_2,cell1_2,NA,FOV4-1,0.718135,0.767624,0.815419,0.791071111,0.819743158,0.819976667,0.935258824,0.850438947
pons_08-3,f,psilocybin,pt,cell1,cell1_3,cell1_3,NA,FOV5-1,0.839135,0.866965,0.875838333,0.925743077,0.933918333,0.914558333,0.90024,0.8376225
